"Año","Tipo de elección","Cod_depto","Departamento","Cod_municipio","Municipio","Zona","Cod_puesto","Puesto de votación","Sexo","","","Potencial electoral","Rangos Etareos","","","","","","","","","","",""
"","","","","","","","","","Hombres","Mujeres","Otros","","18-20","21-25","26-30","31-35","36-40","41-45","46-50","51-55","56-60","mas de 60","sin fecha de nacimiento","extranjero"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","03","SAN CRISTOBAL SUR","6.897","7.436","0","14.333","286","3964","2122","1824","710","710","809","976","875","2057","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","04","LAS MERCEDES","4.350","4.897","0","9.247","602","918","1489","1086","750","733","716","776","675","1502","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","05","SAN BLAS","6.764","7.686","0","14.450","1663","2365","1940","1762","1038","903","941","1104","888","1845","0","1"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","06","PRIMERA DE MAYO","3.313","3.696","0","7.009","377","760","1124","676","615","517","560","583","510","1286","0","1"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","07","SOSIEGO","2.997","3.249","0","6.246","355","832","625","882","389","445","463","550","502","1203","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","08","JUAN DEL RIZZO","8.185","8.414","0","16.599","67","3328","1962","1440","941","1036","1199","1502","1458","3666","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","09","MONTEBELLO","5.805","6.822","0","12.627","555","1168","1851","1235","904","947","1027","1270","1062","2608","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","10","RAMAJAL","2.550","2.804","0","5.354","243","859","961","537","417","359","390","423","359","806","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","11","BELLO HORIZONTE","5.171","5.782","0","10.953","648","1641","1625","1102","703","719","785","974","857","1899","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","12","SAN ISIDRO","5.626","6.413","0","12.039","694","1874","1659","1000","927","904","970","1062","874","2075","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","13","PARQUEADERO GUACAMAYAS","3.430","3.882","0","7.312","18","916","1324","842","533","593","635","583","485","1383","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","14","SAN MARTIN DE LOBA SUR","5.073","5.939","0","11.012","712","1642","1330","1086","987","890","921","1004","738","1702","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","15","BELLAVISTA SAN CRISTOBAL","3.944","4.803","0","8.747","406","902","1236","894","802","782","789","827","720","1389","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","16","LA VICTORIA A","10.758","11.399","0","22.157","166","3195","2852","2354","1659","1772","1990","2245","1801","4123","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","17","ALTAMIRA","6.339","7.065","0","13.404","1053","2220","1948","1622","846","897","999","1065","877","1877","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","18","EL QUINDIO","1.957","2.329","0","4.286","336","542","604","522","319","316","318","392","320","617","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","19","REPUBLICA DEL CANADA","2.766","3.308","0","6.074","332","574","640","632","549","552","529","587","490","1189","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","20","LA GLORIA","4.584","5.080","0","9.664","74","1634","1276","890","707","721","803","850","774","1935","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","21","JUAN REY","4.280","4.778","0","9.058","1170","2089","1314","1018","534","506","492","513","455","967","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","22","VILLA DE LOS ALPES","4.930","5.506","0","10.436","612","1385","1429","1097","934","817","797","873","809","1683","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","23","LOS LIBERTADORES","4.055","4.520","0","8.575","67","1511","1152","825","610","676","769","815","610","1540","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","24","SAN PEDRO SUR ORIENTAL","2.471","2.840","0","5.311","239","432","646","530","608","534","530","527","417","848","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","25","VILLA DEL CERRO","1.974","2.334","0","4.308","308","445","449","444","467","433","416","386","339","621","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","26","CANADA GUIRA","1.317","1.497","0","2.814","246","401","349","247","250","217","274","249","189","392","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","27","ARBOLEDA SUR","2.899","3.661","0","6.560","122","191","636","1679","509","508","471","523","540","1381","0","0"
